age_floor,sex,marital,manner
2,m,w,n
2,f,s,n
2,f,w,n
2,f,s,n
2,f,w,n
2,f,w,n
2,f,s,n
2,f,w,n
2,m,s,a
2,m,s,a
2,f,w,n
2,f,w,n
2,f,s,n
2,f,s,n
2,m,s,a
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,m,m,n
2,m,s,n
2,m,s,n
2,m,s,a
2,f,s,n
2,m,w,n
2,m,w,n
2,f,w,n
2,f,w,n
2,f,s,h
2,f,w,n
2,f,w,n
2,f,s,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,s,n
2,f,w,n
2,f,w,n
2,m,s,n
2,f,w,n
2,m,s,n
2,f,s,n
2,m,s,n
2,f,w,n
2,f,s,n
2,f,w,n
2,m,w,n
2,f,s,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,m,s,a
2,m,s,n
2,m,s,n
2,f,s,n
2,m,m,n
2,m,s,n
2,f,s,h
2,f,s,n
2,f,s,n
2,m,m,n
2,m,w,n
2,f,w,n
2,f,s,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,d,n
2,f,w,n
2,m,s,a
2,f,w,n
2,f,s,n
2,f,w,n
2,m,w,n
2,m,s,a
2,f,w,n
2,f,w,n
2,f,w,n
2,m,w,n
2,f,w,n
2,f,s,a
2,f,s,n
2,f,w,n
2,f,m,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,s,n
2,f,w,n
2,f,w,n
2,f,s,n
2,m,s,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,s,n
2,f,w,n
2,f,s,n
2,f,s,n
2,f,w,n
2,m,w,n
2,m,w,n
2,f,w,n
2,f,s,n
2,f,w,n
2,f,w,n
2,f,w,n
2,m,s,a
2,f,w,n
2,f,s,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,s,n
2,f,w,n
2,f,s,n
2,f,w,n
2,f,s,a
2,f,w,n
2,f,s,n
2,f,w,n
2,f,w,n
2,f,w,n
2,m,w,n
2,f,s,n
2,f,w,n
2,m,s,n
2,f,w,n
2,f,s,n
2,m,w,n
2,f,s,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,m,s,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,s,n
2,f,w,n
2,f,s,a
2,f,s,n
2,m,s,a
2,f,s,n
2,f,s,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,s,n
2,m,s,n
2,f,w,n
2,m,s,n
2,m,s,n
2,f,s,n
2,m,s,n
2,f,w,n
2,m,s,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,m,w,n
2,f,w,n
2,m,m,n
2,f,s,n
2,f,s,n
2,f,w,n
2,m,w,n
2,f,w,n
2,f,w,n
2,f,s,n
2,f,w,n
2,f,s,a
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,s,n
2,m,s,n
2,m,s,n
2,m,s,a
2,f,w,n
2,f,w,n
2,f,w,n
2,m,w,n
2,m,m,n
2,f,w,n
2,m,w,n
2,f,s,n
2,m,s,a
2,f,w,n
2,f,w,n
2,f,w,n
2,f,s,n
2,f,w,n
2,f,d,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,s,n
2,f,s,n
2,f,w,n
2,f,w,n
2,f,w,n
2,m,s,n
2,f,w,n
2,m,w,n
2,f,w,n
2,f,s,n
2,f,w,n
2,f,w,n
2,m,w,n
2,f,w,n
2,f,w,n
2,f,s,n
2,f,w,n
2,f,s,n
2,m,s,n
2,f,w,n
2,m,s,n
2,m,s,n
2,f,s,n
2,f,s,n
2,m,s,n
2,m,s,n
2,m,w,n
2,f,w,n
2,m,s,n
2,f,w,n
2,m,s,n
2,f,w,n
2,m,w,n
2,m,w,n
2,m,s,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,s,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,s,n
2,f,w,n
2,f,s,n
2,f,w,n
2,m,s,a
2,m,w,n
2,f,w,n
2,f,s,a
2,f,w,n
2,m,s,a
2,m,m,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,m,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,m,w,n
2,f,w,n
2,f,s,a
2,m,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,s,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,s,a
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,s,n
2,f,w,n
2,m,s,a
2,m,m,n
2,f,s,n
2,f,w,n
2,f,s,n
2,f,w,n
2,f,w,n
2,f,w,n
2,m,m,n
2,m,d,n
2,f,s,n
2,f,w,n
2,f,s,n
2,f,w,n
2,f,w,n
2,m,s,h
2,f,w,n
2,m,s,n
2,f,s,n
2,m,s,n
2,f,w,n
2,f,w,n
2,f,s,a
2,m,s,a
2,m,s,n
2,m,s,n
2,f,s,n
2,m,w,n
2,m,s,a
2,m,s,n
2,m,s,n
2,f,w,n
2,f,s,a
2,f,s,n
2,f,w,n
2,f,w,n
2,f,s,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
